SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Target_L,Target_a,Target_b
0.0,0.0,0.0,0.0,0.0,0.0,50.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,76.51,26.91,80.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,60.92,44.39,53.39
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,67.17,37.34,64.8499999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,66.62,38.06,64.62
0.0,0.0,0.0,0.0,11.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,61.04,22.05,56.21
0.0,10.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,90.0,0.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,52.43,31.4,40.78
0.0,63.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,46.14,6.07,28.35
0.0,45.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,50.1,8.91,34.79
0.0,6.0,0.0,0.0,0.0,0.0,0.0,1137.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,56.21,32.05,47.48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.17,33.62,74.92
0.0,0.0,0.0,0.0,18.0,0.0,243.0,1099.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,54.19,23.54,42.72
0.0,17.0,0.0,0.0,0.0,0.0,0.0,1094.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49.86,26.66,36.62
0.0,11.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52.13,31.48,39.2
0.0,13.0,0.0,0.0,0.0,0.0,34.0,1075.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,48.95,32.74,33.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.88,51.26,39.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,68.2,39.59,66.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,66.81,39.66,64.61
0.0,60.0,0.0,0.0,110.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,43.93,-6.79,24.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.78,37.18,66.22
7.0,0.0,0.0,0.0,0.0,0.0,638.0,1000.0,0.0,0.0,0.0,0.0,10.0,0.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,71.24,27.86,70.54
0.0,64.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,160.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,41.02,12.46,21.11
0.0,57.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.78,15.0,20.25
0.0,48.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.54,16.13,21.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,51.99,52.51,38.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,51.75,51.85,39.54
0.0,87.0,0.0,0.0,0.0,0.0,0.0,985.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.88,4.21,21.39
0.0,57.0,0.0,0.0,0.0,0.0,0.0,958.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,44.13,6.5,26.44
0.0,30.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42.49,20.51,24.29
0.0,60.0,0.0,0.0,27.0,0.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39.2,11.13,16.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,0.0,0.0,0.0,0.0,202.0,118.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,46.75,39.81,31.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,66.3199999999997,39.27,62.33
0.0,37.0,0.0,0.0,0.0,0.0,0.0,930.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.42,18.08,20.97
0.0,50.0,0.0,0.0,0.0,0.0,0.0,930.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,44.18,9.38,25.99
4.0,0.0,0.0,0.0,0.0,0.0,405.0,913.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.69,24.72,77.66
2.0,0.0,0.0,0.0,0.0,0.0,300.0,913.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.83,27.88,75.76
0.0,22.0,0.0,0.0,0.0,0.0,0.0,901.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42.12,23.26,22.87
12.5,0.0,0.0,0.0,0.0,0.0,467.0,900.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,68.13,26.28,66.74
0.0,0.0,0.0,0.0,0.0,0.0,61.0,900.0,0.0,0.0,0.0,0.0,320.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,50.77,52.14,38.47
0.0,0.0,0.0,0.0,0.0,0.0,61.0,900.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52.69,52.43,41.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,124.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,70.33,33.2,64.93
0.0,53.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42.8,11.3,23.47
0.0,0.0,0.0,0.0,0.0,58.0,0.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75.37,24.07,72.84
0.0,118.0,0.0,0.0,0.0,0.0,80.0,880.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,39.03,6.42,16.59
0.0,11.0,0.0,0.0,0.0,0.0,360.0,870.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,56.94,19.49,46.96
0.0,0.0,0.0,0.0,67.0,0.0,329.0,866.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,59.12,-8.10999999999999,51.13
11.0,0.0,0.0,0.0,0.0,0.0,467.0,850.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,69.89,24.59,69.5
9.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,60.03,39.48,51.94
4.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,600.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,62.7,39.2,48.89
0.0,16.0,0.0,0.0,0.0,0.0,414.0,815.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,57.36,18.76,48.43
0.0,54.0,0.0,0.0,0.0,0.0,315.0,810.0,0.0,0.0,0.0,0.0,108.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,42.41,11.16,21.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,66.59,42.54,62.17
0.0,20.0,0.0,0.0,0.0,0.0,185.0,800.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52.36,15.77,39.45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,63.32,44.83,56.9
0.0,0.0,0.0,0.0,0.0,62.0,638.0,787.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,72.33,27.7,73.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,63.07,46.59,56.77
9.0,0.0,0.0,0.0,0.0,0.0,180.0,780.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,64.4,33.64,58.25
0.0,153.0,0.0,0.0,0.0,0.0,180.0,765.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.42,5.26,13.92
12.0,0.0,0.0,0.0,0.0,0.0,195.0,760.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,64.25,34.48,60.53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,61.88,45.12,54.63
0.0,50.0,0.0,0.0,0.0,0.0,350.0,758.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.61,11.61,21.29
16.0,0.0,0.0,0.0,0.0,0.0,499.0,751.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,69.4599999999998,20.86,68.3
0.0,0.0,0.0,0.0,0.0,58.0,0.0,750.0,100.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,71.28,31.09,63.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,61.74,43.91,55.1
19.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,57.24,35.83,46.35
0.0,18.0,0.0,0.0,0.0,0.0,35.0,730.0,173.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,55.75,17.79,42.92
0.0,14.0,0.0,0.0,0.0,0.0,48.0,720.0,160.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,58.79,20.77,47.43
0.0,0.0,0.0,0.0,4.0,0.0,0.0,720.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,59.88,39.57,51.85
0.0,10.0,0.0,0.0,0.0,0.0,0.0,720.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,55.67,30.72,46.44
13.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,46.89,48.87,30.84
0.0,0.0,0.0,0.0,29.7,0.0,0.0,717.21,165.47,0.0,0.0,0.0,0.0,55.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46.84,14.93,30.38
0.0,64.0,0.0,0.0,0.0,0.0,84.0,707.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,39.69,12.4,19.16
0.0,73.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,38.52,15.3,16.32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,65.04,39.22,58.8
0.0,0.0,0.0,0.0,0.0,61.0,470.0,680.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,70.45,28.08,70.67
12.0,0.0,0.0,0.0,0.0,0.0,430.0,680.0,35.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.19,23.67,71.59
15.0,0.0,0.0,0.0,0.0,0.0,330.0,680.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,72.05,19.92,71.67
0.0,0.0,0.0,0.0,0.0,24.0,0.0,680.0,97.0,0.0,0.0,0.0,0.0,0.0,378.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.37,29.83,64.27
